concurso;repetidas;soma;pares;ciclo;qtd;ausente1;ausente2;ausente3;ausente4;ausente5;ausente6;ausente7;ausente8;ausente9;ausente10
1;0;199;8;;;1;4;7;8;12;15;17;19;21;22
2;9;185;6;;;8;17;21;22;;;;;;
3;11;182;9;;;21;22;;;;;;;;
4;9;197;8;;;21;22;;;;;;;;
5;11;202;7;;;21;22;;;;;;;;
6;9;183;6;;;22;;;;;;;;;
7;11;215;8;2;7;;;;;;;;;;
8;9;204;7;;;2;3;4;7;11;12;14;21;23;24
9;10;212;5;;;2;7;12;14;23;;;;;
10;9;170;9;;;7;;;;;;;;;
11;11;214;9;3;4;;;;;;;;;;
12;10;165;8;;;3;6;13;15;18;19;20;21;22;23
13;9;176;5;;;18;20;21;22;;;;;;
14;9;198;5;;;22;;;;;;;;;
15;9;204;9;;;22;;;;;;;;;
16;11;207;6;;;22;;;;;;;;;
17;8;171;6;;;22;;;;;;;;;
18;8;216;9;4;7;;;;;;;;;;
19;12;191;8;;;1;3;4;9;12;18;19;21;22;25
20;10;198;9;;;1;12;21;22;25;;;;;
21;9;212;9;;;12;21;;;;;;;;
22;7;148;7;;;21;;;;;;;;;
23;8;164;9;;;21;;;;;;;;;
24;9;202;5;5;6;;;;;;;;;;
25;9;169;8;;;8;10;11;12;15;17;18;19;21;25
26;9;215;6;;;12;15;18;25;;;;;;
27;8;222;9;6;3;;;;;;;;;;
28;9;191;6;;;2;4;5;6;8;15;22;23;24;25
29;9;199;8;;;2;15;23;25;;;;;;
30;10;178;7;;;15;25;;;;;;;;
31;10;209;6;7;4;;;;;;;;;;
32;9;177;8;;;3;5;8;12;13;18;19;21;24;25
33;9;193;8;;;3;13;18;25;;;;;;
34;11;184;7;;;3;13;25;;;;;;;
35;7;209;6;;;3;;;;;;;;;
36;10;206;7;;;3;;;;;;;;;
37;11;189;6;8;6;;;;;;;;;;
38;9;175;8;;;4;5;11;12;17;18;19;20;21;23
39;9;223;6;;;4;5;12;20;;;;;;
40;9;192;9;;;4;;;;;;;;;
41;7;217;6;9;4;;;;;;;;;;
42;7;188;7;;;2;7;9;10;13;16;18;19;20;23
43;8;201;8;;;2;13;16;;;;;;;
44;8;208;7;;;2;16;;;;;;;;
45;9;204;5;10;4;;;;;;;;;;
46;10;191;8;;;3;7;9;12;13;15;16;17;20;22
47;10;163;8;;;7;9;12;16;17;;;;;
48;9;215;6;;;9;12;;;;;;;;
49;12;209;8;;;9;12;;;;;;;;
50;8;182;5;11;5;;;;;;;;;;
51;9;187;6;;;2;4;9;10;12;15;18;19;24;25
52;8;206;7;;;10;18;19;;;;;;;
53;7;186;7;;;10;;;;;;;;;
54;9;188;11;;;10;;;;;;;;;
55;10;162;7;;;10;;;;;;;;;
56;8;212;7;;;10;;;;;;;;;
57;7;178;7;;;10;;;;;;;;;
58;9;195;8;;;10;;;;;;;;;
59;9;180;5;12;9;;;;;;;;;;
60;8;198;7;;;6;7;9;10;12;13;14;15;20;21
61;9;209;6;;;6;7;10;21;;;;;;
62;9;201;6;;;6;10;21;;;;;;;
63;9;231;8;;;6;;;;;;;;;
64;7;176;7;13;5;;;;;;;;;;
65;9;220;7;;;3;5;6;8;9;11;12;13;14;24
66;11;208;9;;;3;5;6;9;12;13;;;;
67;10;216;7;;;3;6;;;;;;;;
68;9;166;7;14;4;;;;;;;;;;
69;7;207;6;;;2;3;5;6;12;13;14;16;22;25
70;7;181;8;;;13;22;;;;;;;;
71;8;185;6;15;3;;;;;;;;;;
72;9;197;6;;;3;4;6;9;10;14;19;20;21;22
73;11;194;5;;;3;4;6;9;20;22;;;;
74;9;172;7;;;9;20;;;;;;;;
75;11;161;6;;;9;;;;;;;;;
76;10;197;4;16;5;;;;;;;;;;
77;6;204;9;;;1;5;7;10;12;13;15;16;19;23
78;7;166;7;;;10;19;;;;;;;;
79;10;210;7;;;10;19;;;;;;;;
80;12;172;7;;;19;;;;;;;;;
81;9;150;5;17;5;;;;;;;;;;
82;8;192;7;;;2;3;7;10;11;14;16;21;24;25
83;8;177;8;;;7;16;21;;;;;;;
84;9;214;9;;;7;21;;;;;;;;
85;7;185;6;18;4;;;;;;;;;;
86;8;199;8;;;1;3;7;10;11;15;16;20;21;22
87;8;186;7;;;7;16;21;;;;;;;
88;10;179;8;;;7;16;21;;;;;;;
89;7;245;6;;;7;;;;;;;;;
90;11;214;7;;;7;;;;;;;;;
91;10;212;7;;;7;;;;;;;;;
92;8;196;9;;;7;;;;;;;;;
93;9;198;7;19;8;;;;;;;;;;
94;9;215;8;;;1;3;5;6;7;10;14;19;20;25
95;8;173;8;;;6;7;25;;;;;;;
96;9;218;9;;;7;25;;;;;;;;
97;11;227;8;;;7;;;;;;;;;
98;9;207;8;;;7;;;;;;;;;
99;8;188;7;20;6;;;;;;;;;;
100;10;188;7;;;2;5;6;7;15;18;19;20;21;24
101;9;203;6;;;2;5;15;18;;;;;;
102;8;187;6;;;5;15;;;;;;;;
103;11;172;7;;;15;;;;;;;;;
104;8;226;7;21;5;;;;;;;;;;
105;10;199;6;;;1;2;3;5;14;16;18;20;23;24
106;9;172;7;;;16;18;20;24;;;;;;
107;8;181;6;;;16;20;;;;;;;;
108;10;187;8;;;20;;;;;;;;;
109;9;208;5;22;5;;;;;;;;;;
110;9;205;6;;;2;7;8;9;10;11;15;16;18;24
111;10;219;6;;;2;7;8;9;16;;;;;
112;9;184;7;;;7;8;9;16;;;;;;
113;9;185;8;;;7;9;16;;;;;;;
114;10;183;8;;;16;;;;;;;;;
115;8;185;6;23;6;;;;;;;;;;
116;10;214;7;;;3;4;5;6;7;8;15;17;22;24
117;10;205;6;;;3;4;8;22;24;;;;;
118;8;206;9;;;3;;;;;;;;;
119;9;209;8;;;3;;;;;;;;;
120;8;193;6;24;5;;;;;;;;;;
121;8;184;7;;;3;6;8;13;14;15;19;20;21;22
122;10;192;7;;;3;6;14;19;21;;;;;
123;8;222;7;;;3;14;;;;;;;;
124;8;203;8;25;4;;;;;;;;;;
125;11;187;8;;;1;5;8;13;14;17;18;19;20;23
126;10;184;9;;;5;17;19;20;23;;;;;
127;9;175;6;;;17;20;;;;;;;;
128;8;209;6;26;4;;;;;;;;;;
129;10;216;5;;;1;3;4;8;10;12;14;16;17;24
130;9;187;6;;;1;8;14;16;;;;;;
131;10;192;7;;;1;14;16;;;;;;;
132;8;182;5;27;4;;;;;;;;;;
133;9;192;5;;;2;6;7;10;12;14;16;17;24;25
134;8;183;6;;;2;6;24;;;;;;;
135;10;200;7;;;6;24;;;;;;;;
136;8;187;6;28;4;;;;;;;;;;
137;7;207;8;;;1;3;4;5;7;14;15;22;23;24
138;8;193;6;;;1;14;23;;;;;;;
139;8;220;7;29;3;;;;;;;;;;
140;9;199;8;;;4;5;7;8;11;14;16;17;21;23
141;11;202;7;;;4;5;11;14;21;23;;;;
142;8;188;7;;;11;14;21;;;;;;;
143;10;226;5;;;14;;;;;;;;;
144;10;208;7;30;5;;;;;;;;;;
145;10;204;7;;;4;5;6;7;8;12;16;19;21;23
146;10;203;8;;;4;6;7;19;21;;;;;
147;11;190;7;;;7;;;;;;;;;
148;10;199;8;;;7;;;;;;;;;
149;9;223;6;31;5;;;;;;;;;;
150;7;198;5;;;2;4;10;12;13;15;16;17;18;20
151;8;189;8;;;2;15;17;;;;;;;
152;8;211;6;;;2;;;;;;;;;
153;9;204;7;32;4;;;;;;;;;;
154;8;170;7;;;4;7;8;12;17;19;20;21;22;25
155;9;209;10;;;7;12;17;25;;;;;;
156;9;184;7;;;7;17;25;;;;;;;
157;7;188;9;;;17;;;;;;;;;
158;8;209;8;33;5;;;;;;;;;;
159;7;165;8;;;7;9;12;13;16;18;19;21;22;23
160;10;196;7;;;7;13;18;22;23;;;;;
161;8;239;6;;;7;;;;;;;;;
162;10;166;9;;;7;;;;;;;;;
163;9;188;5;34;5;;;;;;;;;;
164;10;183;8;;;4;7;9;12;13;16;17;19;20;25
165;8;185;8;;;7;16;20;;;;;;;
166;10;201;8;;;7;16;;;;;;;;
167;11;188;9;;;7;;;;;;;;;
168;9;195;8;35;5;;;;;;;;;;
169;9;169;8;;;2;3;13;14;17;18;19;22;23;25
170;9;181;8;;;2;14;17;19;;;;;;
171;9;217;6;;;2;14;19;;;;;;;
172;9;181;8;;;14;19;;;;;;;;
173;8;209;6;;;14;;;;;;;;;
174;9;193;6;;;14;;;;;;;;;
175;7;186;7;36;7;;;;;;;;;;
176;9;233;8;;;1;3;5;6;7;8;9;14;19;20
177;10;212;7;;;1;3;5;9;14;;;;;
178;10;204;9;;;1;5;;;;;;;;
179;9;202;5;;;1;;;;;;;;;
180;9;158;7;37;5;;;;;;;;;;
181;9;198;7;;;2;3;9;10;11;12;13;18;24;25
182;9;198;5;;;10;12;18;24;;;;;;
183;11;213;8;;;10;12;18;;;;;;;
184;8;203;4;;;12;;;;;;;;;
185;10;179;6;38;5;;;;;;;;;;
186;9;217;8;;;1;3;7;8;9;10;14;15;20;21
187;11;240;5;;;7;8;9;10;14;20;;;;
188;10;222;7;;;7;9;14;;;;;;;
189;9;189;8;;;14;;;;;;;;;
190;10;181;6;39;5;;;;;;;;;;
191;7;214;7;;;1;3;4;6;7;11;14;16;24;25
192;7;180;7;;;7;25;;;;;;;;
193;9;172;7;;;7;;;;;;;;;
194;8;216;7;40;4;;;;;;;;;;
195;10;175;8;;;1;5;10;13;15;16;20;21;24;25
196;8;219;8;;;1;13;21;;;;;;;
197;7;181;8;;;1;;;;;;;;;
198;8;184;7;41;4;;;;;;;;;;
199;8;173;6;;;7;8;10;13;14;16;17;18;24;25
200;10;178;7;;;7;10;17;18;25;;;;;
201;11;165;8;;;7;17;18;25;;;;;;
